"","PROBEID","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME"
"143","250132_at",-0.941419764115715,7.39342973931494,-6.15767259494636,5.87370080921161e-05,0.00773516796835027,2.17883415477407,"KAN1","Encodes a KANADI protein (KAN) that regulates organ polarity in Arabidopsis. KAN is required for abaxial identity in both leaves and carpels, and  encodes a nuclear-localized protein in the GARP family of putative  transcription factors. Together with KAN2, this gene appears to be involved in the development of the carpel and the outer integument of the ovule.Along with KAN2 and KAN4, KAN1 appears to be required for proper regulation of PIN1 in early embryogenesis."
"144","250207_at",2.22457610047324,8.14957822511893,6.18880986121628,5.61224614251377e-05,0.00773516796835027,2.22245744559647,"ATCHS","Encodes chalcone synthase (CHS), a key enzyme involved in the biosynthesis of flavonoids.  Required for the accumulation of purple anthocyanins in leaves and stems. Also involved in the regulation of auxin transport and the modulation of root gravitropism."
"145","250207_at",2.22457610047324,8.14957822511893,6.18880986121628,5.61224614251377e-05,0.00773516796835027,2.22245744559647,"CHS","Encodes chalcone synthase (CHS), a key enzyme involved in the biosynthesis of flavonoids.  Required for the accumulation of purple anthocyanins in leaves and stems. Also involved in the regulation of auxin transport and the modulation of root gravitropism."
"146","250207_at",2.22457610047324,8.14957822511893,6.18880986121628,5.61224614251377e-05,0.00773516796835027,2.22245744559647,"TT4","Encodes chalcone synthase (CHS), a key enzyme involved in the biosynthesis of flavonoids.  Required for the accumulation of purple anthocyanins in leaves and stems. Also involved in the regulation of auxin transport and the modulation of root gravitropism."
"164","250942_at",2.21688696289798,11.7012602822274,6.20257563213013,5.50063060971912e-05,0.00773516796835027,2.24169496351788,"SAI-LLP1",NA
"200","252880_at",0.643466528885904,11.2262085302917,6.18818219283695,5.61739250651982e-05,0.00773516796835027,2.22157957981931,"ATPLAT1",NA
"201","252880_at",0.643466528885904,11.2262085302917,6.18818219283695,5.61739250651982e-05,0.00773516796835027,2.22157957981931,"PLAT1",NA
"202","252911_at",0.628760587582754,8.00295108114742,6.15676734053216,5.88149327444255e-05,0.00773516796835027,2.17756362507238,"CYP96A12","member of CYP96A"
"239","254225_at",0.633618777964015,12.0231797279882,6.16114748456421,5.84389066990914e-05,0.00773516796835027,2.18370999110918,NA,NA
"245","254244_at",3.09283985099618,3.14734330247096,6.23630915784125,5.23697956185387e-05,0.00773516796835027,2.28871208977066,NA,NA
"246","254333_at",1.26274219888828,9.3451881530097,6.18428547705025,5.64945493054304e-05,0.00773516796835027,2.21612820067396,NA,"Encodes a member of the SMO1 family of sterol 4alpha-methyl oxidases."
"280","255962_at",-1.87907743274516,8.71011226976207,-6.19987115539638,5.52237113714019e-05,0.00773516796835027,2.23791782324922,NA,NA
"291","257410_at",-0.497677974900657,8.26883586214947,-6.16107045747112,5.84454971734946e-05,0.00773516796835027,2.18360193002465,"EMB2421","A locus involved in embryogenesis. Mutations in this locus result in embryo lethality."
"292","257410_at",-0.497677974900657,8.26883586214947,-6.16107045747112,5.84454971734946e-05,0.00773516796835027,2.18360193002465,"EMB260","A locus involved in embryogenesis. Mutations in this locus result in embryo lethality."
"332","259518_at",1.94163216036843,9.41472919097443,6.18954771967589,5.60620272498709e-05,0.00773516796835027,2.22348934601898,"OPCL1",NA
"354","260745_at",0.909801222579487,11.5675439513402,6.23018125698487,5.28385500722882e-05,0.00773516796835027,2.28018434300822,"ATGSTU20","Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002)."
"355","260745_at",0.909801222579487,11.5675439513402,6.23018125698487,5.28385500722882e-05,0.00773516796835027,2.28018434300822,"GSTU20","Encodes glutathione transferase belonging to the tau class of GSTs. Naming convention according to Wagner et al. (2002)."
"373","261368_at",0.849256578809785,8.48043862916992,6.23006019859069,5.2847855307861e-05,0.00773516796835027,2.28001581597655,NA,NA
"379","261804_at",0.997902030815233,8.62316532364482,6.16582470673669,5.80401991754868e-05,0.00773516796835027,2.19026991282519,"UGT78D1","The At1g30530 gene encodes a UDP-rhamnose:flavonol-3-O-rhamnosyltransferase (UGT78D1) attaching a rhamnosyl residue to the 3-O-position of the flavonols kaempferol and quercetin"
"428","264262_at",0.629793326137756,10.8747573633094,6.23272468826741,5.26434501642848e-05,0.00773516796835027,2.28372455950448,"H3.1",NA
"429","264262_at",0.629793326137756,10.8747573633094,6.23272468826741,5.26434501642848e-05,0.00773516796835027,2.28372455950448,"HTR2",NA
"494","266967_at",3.49979094182565,2.64711270294072,6.19931738242411,5.52683403001931e-05,0.00773516796835027,2.23714426903755,"CASPL4D1",NA
"499","267084_at",1.28638389536355,9.97080458716301,6.20514952838931,5.48002435469197e-05,0.00773516796835027,2.24528867065158,"SIB2",NA
"504","267424_at",3.69957978909009,1.22657726873615,6.21510049541162,5.40112772754048e-05,0.00773516796835027,2.25917260636918,NA,NA
"119","248794_at",2.25981829947015,8.582377220189,6.12368481932891,6.17394953453605e-05,0.00774160479117886,2.13104409792939,"ATERF-2","Encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ATERF-2). The protein contains one AP2 domain. Functions as activator of GCC boxdependent transcription. Positive regulator of JA-responsive defense genes and resistance to  F. oxysporum and enhances JA inhibition of root elongation."
"120","248794_at",2.25981829947015,8.582377220189,6.12368481932891,6.17394953453605e-05,0.00774160479117886,2.13104409792939,"ATERF2","Encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ATERF-2). The protein contains one AP2 domain. Functions as activator of GCC boxdependent transcription. Positive regulator of JA-responsive defense genes and resistance to  F. oxysporum and enhances JA inhibition of root elongation."
"121","248794_at",2.25981829947015,8.582377220189,6.12368481932891,6.17394953453605e-05,0.00774160479117886,2.13104409792939,"ERF2","Encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family (ATERF-2). The protein contains one AP2 domain. Functions as activator of GCC boxdependent transcription. Positive regulator of JA-responsive defense genes and resistance to  F. oxysporum and enhances JA inhibition of root elongation."
"165","250954_at",-1.06380396313781,11.6618232888325,-6.13443005058332,6.0772989354182e-05,0.00774160479117886,2.14617247499589,"ATRAB-E1D",NA
"166","250954_at",-1.06380396313781,11.6618232888325,-6.13443005058332,6.0772989354182e-05,0.00774160479117886,2.14617247499589,"ATRAB8C",NA
"167","250954_at",-1.06380396313781,11.6618232888325,-6.13443005058332,6.0772989354182e-05,0.00774160479117886,2.14617247499589,"ATRABE1D",NA
"168","250954_at",-1.06380396313781,11.6618232888325,-6.13443005058332,6.0772989354182e-05,0.00774160479117886,2.14617247499589,"RAB-E1D",NA
"169","250954_at",-1.06380396313781,11.6618232888325,-6.13443005058332,6.0772989354182e-05,0.00774160479117886,2.14617247499589,"RAB8C",NA
"218","253753_at",0.814466305143782,10.3902270332655,6.13044245441619,6.11297720750654e-05,0.00774160479117886,2.1405603875004,NA,NA
"290","257365_x_at",3.52099393491455,12.5319125662317,6.12379328708809,6.17296576733334e-05,0.00774160479117886,2.13119690174353,"PDF1.2b","Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the plant defensin (PDF) family with the following members: At1g75830/PDF1.1, At5g44420/PDF1.2a, At2g26020/PDF1.2b, At5g44430/PDF1.2c, At2g26010/PDF1.3, At1g19610/PDF1.4, At1g55010/PDF1.5, At2g02120/PDF2.1, At2g02100/PDF2.2, At2g02130/PDF2.3, At1g61070/PDF2.4, At5g63660/PDF2.5, At2g02140/PDF2.6, At5g38330/PDF3.1 and At4g30070/PDF3.2."
"317","258470_at",0.701940043847072,9.24750418502579,6.12624638283931,6.15076145380818e-05,0.00774160479117886,2.13465220488442,NA,NA
"404","263584_at",2.24503925492416,8.87432531192912,6.11770886760987,6.22840796969019e-05,0.00774160479117886,2.12262263484998,"anac036","Member of the NAC transcription factor family and more specifically, the ONAC022 subfamily. Involved in leaf and inflorescence stem morphogenesis."
"405","263584_at",2.24503925492416,8.87432531192912,6.11770886760987,6.22840796969019e-05,0.00774160479117886,2.12262263484998,"NAC036","Member of the NAC transcription factor family and more specifically, the ONAC022 subfamily. Involved in leaf and inflorescence stem morphogenesis."
"425","264260_at",0.816481690282162,11.0951672281257,6.1191008148503,6.21567777011035e-05,0.00774160479117886,2.12458470225444,"AtCRT1b","Encodes one of three Arabidopsis calreticulins."
